Hispanic,African-American,White ,Asian-American,
JAYDEN,426,184,173,39,822
JACOB,303,82,265,49,699
ETHAN,251,124,118,177,670
MATTHEW,276,59,189,74,598
MICHAEL,174,93,292,38,597
DANIEL,221,81,210,84,596
JUSTIN,310,85,46,110,551
DAVID,178,84,258,28,548
AIDEN,188,167,78,96,529
ALEXANDER,219,39,197,47,502
JOSEPH,140,35,281,21,477
ANTHONY,207,66,135,46,454
JOSHUA,190,128,89,36,443
RYAN,122,41,126,150,439
CHRISTOPHER,239,80,92,21,432
NOAH,157,91,99,19,366
LUCAS,128,12,122,103,365
MASON,173,83,75,34,365
ANDREW,125,36,133,70,364
WILLIAM,98,27,170,66,361